# curie_map:
#   pyrgeo: "https://gov.tesseract.academy/ns/pyramid-pra/geography#"
#   pyrtac: "https://gov.tesseract.academy/ns/pyramid-pra/tactical-objects#"
#   pyrdf: "https://gov.tesseract.academy/ns/pyramid-pra/data-fusion#"
#   ies: "http://informationexchangestandard.org/ont/ies/common/"
#   hqdm: "http://www.semanticweb.org/magma-core/ontologies/hqdm#"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://github.com/fabio-rovai/ies-hqdm-crosswalk/pyramid-bridge"
# mapping_set_title: "Grounding of PYRAMID PRA component entities in IES/HQDM (worked bridge example)"
# mapping_set_version: "0.1.0"
# license: "https://creativecommons.org/licenses/by/4.0/"
# creator_label: "Tesseract Academy"
# mapping_date: "2026-07-02"
# comment: "Candidate-for-review grounding of the subject-matter-semantics entities of two PYRAMID Reference Architecture (PRA) components (Geography, 5.4.2.23; Tactical Objects, 5.4.2.60) into IES/HQDM terms, using the crosswalk in this repository. Source: PYRAMID Technical Standard V1.0 (Def Stan 00-134), OGL v3.0. The pyrgeo:/pyrtac: identifiers are minted by Tesseract to reference PRA entities that have no public IRIs; they are NOT official MOD identifiers. Purpose: give a PYRAMID inter-component bridge (Technical Standard s5.2, which performs 'data element mapping ... to bridge the semantic gap') a consistent, published semantic reference. See README.md."
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
pyrtac:TacticalObject	Tactical_Object	skos:closeMatch	ies:Entity	Entity	semapv:ManualMappingCuration	0.85	"An entity in the battlespace ... with associated characteristics (allegiance, classification, location and kinematics)" (PYD TS 5.4.2.60.5.1). A whole-life persisting thing = ies:Entity. Via the crosswalk ies:Entity ~ hqdm:individual, with hqdm:physical_object the narrower option for tangible objects. This is the IES (operational-picture) side of the bridge.
pyrtac:Behaviour	Behaviour	skos:closeMatch	ies:State	State	semapv:ManualMappingCuration	0.8	"The estimated pattern of action ... and operational state of a Tactical_Object (e.g. ready for operation, operational in air)". A condition holding over a temporal part of the object = ies:State (crosswalk: ies:State ~ hqdm:state).
pyrtac:Relationship	Relationship	skos:relatedMatch	ies:isPartOf	isPartOf	semapv:ManualMappingCuration	0.45	NON-ATOMIC. One entity conflates mereology ("equipment on a vehicle, or vehicles within a formation" = ies:isPartOf ~ hqdm:part_of) with associative happenings ("a missile targeting an aircraft" = an ies:Event with participants). A faithful bridge must split this in EDOAL, not map it 1:1. See README divergence D3.
pyrtac:ObjectInformationSource	Object_Information_Source	skos:broadMatch	ies:Entity	Entity	semapv:ManualMappingCuration	0.5	"A source of information about objects of tactical significance": a device or organisation providing observations, i.e. an ies:Entity in a reporting role. Loose; the role, not the type, is what matters.
pyrtac:TypeOfInterestRequirement	Type_of_Interest_Requirement	skos:closeMatch	ies:ClassOfEntity	ClassOfEntity	semapv:ManualMappingCuration	0.6	"A specific type of Object_Interest_Requirement (e.g. a requirement to determine the type of Tactical_Object)". A powertype term over tactical objects; aligns with the ies:ClassOf... second-order hierarchy (crosswalk: ies:ClassOfElement ~ hqdm:class_of_spatio_temporal_extent).
pyrtac:Capability	Capability	skos:relatedMatch	ies:ClassOfEntity	ClassOfEntity	semapv:ManualMappingCuration	0.2	FALSE FRIEND across components. Here Capability = "the capability to perform a range of services, including maintaining knowledge of Tactical_Objects". A disposition with no clean 4D-ontology counterpart. Recorded ONLY to warn: do NOT unify pyrtac:Capability with pyrgeo:Capability on the shared label. See README divergence D2.
pyrgeo:GeographicalFeature	Geographical_Feature	skos:closeMatch	hqdm:physical_object	physical_object	semapv:ManualMappingCuration	0.72	"A geographical feature of the Earth ... e.g. a specific river, the land border between two countries" (PYD TS 5.4.2.23.5.1); tangible (buildings) and intangible (country border); points, areas or volumes. Tangible features = hqdm:physical_object; this is the HQDM / built-and-physical-environment side of the bridge. Intangible features (a border) are spatial abstractions and map less cleanly.
pyrgeo:GeographicalFeature	Geographical_Feature	skos:closeMatch	ies:Entity	Entity	semapv:ManualMappingCuration	0.6	The IES-side grounding of the same entity: a persisting spatial thing is an ies:Entity. Recorded alongside the hqdm:physical_object grounding because the crosswalk (ies:Entity ~ hqdm:individual) is exactly what lets a Geographical_Feature and a Tactical_Object resolve to one referent. See bridge.ttl.
pyrgeo:FeatureType	Feature_Type	skos:closeMatch	ies:ClassOfElement	ClassOfElement	semapv:ManualMappingCuration	0.7	"A specific type of Geographical_Feature, e.g. a building, terrain, country border". A powertype term; aligns with ies:ClassOfElement ~ hqdm:class_of_spatio_temporal_extent (crosswalk).
pyrgeo:ReferenceItem	Reference_Item	skos:broadMatch	ies:Entity	Entity	semapv:ManualMappingCuration	0.5	NON-ATOMIC. "e.g. ownship or projected route". Ownship is an ies:Entity; a projected route is a plan/trajectory with no clean IES class. Split required; ownship side grounds cleanly.
